iso,variable,elec,thres.energy,thres.energy.op,thres.energy.conrep,unit.energy
ABW,Appliance|clean_cooking_fuel,elec,0.7575553529659358,0,0.7575553529659358,MJ/cap/year
ABW,Appliance|clean_cooking_fuel,non.elec,598.2174298548281,597.716069274309,0.5013605805191076,MJ/cap/year
ABW,Appliance|clean_cooking_fuel,total,598.974985207794,597.716069274309,1.2589159334850433,MJ/cap/year
ABW,Appliance|television,elec,204.2510402340157,193.67937438231436,10.571665851701328,MJ/cap/year
ABW,Appliance|television,non.elec,15.978548386540936,0,15.978548386540936,MJ/cap/year
ABW,Appliance|television,total,220.22958862055663,193.67937438231436,26.550214238242262,MJ/cap/year
ABW,Appliance|mobile_telephone,elec,9.807675614354,7.4512759310973715,2.3563996832566287,MJ/cap/year
ABW,Appliance|mobile_telephone,non.elec,3.561581200647422,0,3.561581200647422,MJ/cap/year
ABW,Appliance|mobile_telephone,total,13.369256815001421,7.4512759310973715,5.9179808839040495,MJ/cap/year
ABW,Appliance|refrigerator,elec,184.0850720402275,154.9434995058515,29.141572534375996,MJ/cap/year
ABW,Appliance|refrigerator,non.elec,38.75380815186864,0,38.75380815186864,MJ/cap/year
ABW,Appliance|refrigerator,total,222.83888019209616,154.9434995058515,67.89538068624465,MJ/cap/year
AFG,Appliance|clean_cooking_fuel,elec,0.3502736318407961,0,0.3502736318407961,MJ/cap/year
AFG,Appliance|clean_cooking_fuel,non.elec,276.59997512437815,276.36815920398016,0.23181592039800997,MJ/cap/year
AFG,Appliance|clean_cooking_fuel,total,276.95024875621897,276.36815920398016,0.582089552238806,MJ/cap/year
AFG,Appliance|television,elec,94.4402985074627,89.55223880597016,4.88805970149254,MJ/cap/year
AFG,Appliance|television,non.elec,7.388059701492539,0,7.388059701492539,MJ/cap/year
AFG,Appliance|television,total,101.82835820895524,89.55223880597016,12.276119402985076,MJ/cap/year
AFG,Appliance|mobile_telephone,elec,4.534810748688171,3.4452736318407964,1.0895371168473746,MJ/cap/year
AFG,Appliance|mobile_telephone,non.elec,1.6467812911128252,0,1.6467812911128252,MJ/cap/year
AFG,Appliance|mobile_telephone,total,6.181592039800996,3.4452736318407964,2.736318407960199,MJ/cap/year
AFG,Appliance|refrigerator,elec,85.11608623548923,71.64179104477613,13.4742951907131,MJ/cap/year
AFG,Appliance|refrigerator,non.elec,17.918739635157547,0,17.918739635157547,MJ/cap/year
AFG,Appliance|refrigerator,total,103.03482587064678,71.64179104477613,31.39303482587065,MJ/cap/year
AGO,Appliance|clean_cooking_fuel,elec,0.5842738589211618,0,0.5842738589211618,MJ/cap/year
AGO,Appliance|clean_cooking_fuel,non.elec,461.3825311203318,460.9958506224065,0.3866804979253111,MJ/cap/year
AGO,Appliance|clean_cooking_fuel,total,461.96680497925297,460.9958506224065,0.9709543568464728,MJ/cap/year
AGO,Appliance|television,elec,157.53112033195018,149.37759336099583,8.153526970954358,MJ/cap/year
AGO,Appliance|television,non.elec,12.323651452282157,0,12.323651452282157,MJ/cap/year
AGO,Appliance|television,total,169.85477178423236,149.37759336099583,20.47717842323651,MJ/cap/year
AGO,Appliance|mobile_telephone,elec,7.564290128517195,5.7468879668049775,1.8174021617122176,MJ/cap/year
AGO,Appliance|mobile_telephone,non.elec,2.7469131909848774,0,2.7469131909848774,MJ/cap/year
AGO,Appliance|mobile_telephone,total,10.311203319502072,5.7468879668049775,4.564315352697094,MJ/cap/year
AGO,Appliance|refrigerator,elec,141.9778699861687,119.50207468879665,22.475795297372052,MJ/cap/year
AGO,Appliance|refrigerator,non.elec,29.8893499308437,0,29.8893499308437,MJ/cap/year
AGO,Appliance|refrigerator,total,171.86721991701242,119.50207468879665,52.36514522821576,MJ/cap/year
ALB,Appliance|clean_cooking_fuel,elec,0.8533939393939395,0,0.8533939393939395,MJ/cap/year
ALB,Appliance|clean_cooking_fuel,non.elec,673.8981212121213,673.3333333333334,0.5647878787878787,MJ/cap/year
ALB,Appliance|clean_cooking_fuel,total,674.7515151515152,673.3333333333334,1.4181818181818182,MJ/cap/year
ALB,Appliance|television,elec,230.0909090909091,218.1818181818182,11.909090909090914,MJ/cap/year
ALB,Appliance|television,non.elec,18.000000000000004,0,18.000000000000004,MJ/cap/year
ALB,Appliance|television,total,248.0909090909091,218.1818181818182,29.90909090909091,MJ/cap/year
ALB,Appliance|mobile_telephone,elec,11.048448005894816,8.393939393939394,2.6545086119554213,MJ/cap/year
