iso,ldv,twothree,bus,rail,
SAU,0.18,0.135,0.315,0.27,
SDN,0.18,0.135,0.315,0.27,
SEN,0.18,0.135,0.315,0.27,
SGP,0.18,0.135,0.315,0.27,
SLB,0.18,0.135,0.315,0.27,
SLE,0.18,0.135,0.315,0.27,
SLV,0.18,0.135,0.315,0.27,
SOM,0.18,0.135,0.315,0.27,
SRB,0.18,0.135,0.315,0.27,
STP,0.18,0.135,0.315,0.27,
SUR,0.18,0.135,0.315,0.27,
SVK,0.18,0.135,0.315,0.27,
SVN,0.18,0.135,0.315,0.27,
SWE,0.18,0.135,0.315,0.27,
SWZ,0.18,0.135,0.315,0.27,
SYR,0.18,0.135,0.315,0.27,
TCD,0.18,0.135,0.315,0.27,
TGO,0.18,0.135,0.315,0.27,
THA,0.18,0.135,0.315,0.27,
TJK,0.18,0.135,0.315,0.27,
TKM,0.18,0.135,0.315,0.27,
TLS,0.18,0.135,0.315,0.27,
TON,0.18,0.135,0.315,0.27,
TTO,0.18,0.135,0.315,0.27,
TUN,0.18,0.135,0.315,0.27,
TUR,0.18,0.135,0.315,0.27,
TZA,0.18,0.135,0.315,0.27,
UGA,0.18,0.135,0.315,0.27,
UKR,0.18,0.135,0.315,0.27,
URY,0.18,0.135,0.315,0.27,
USA,0.18,0.135,0.315,0.27,
UZB,0.18,0.135,0.315,0.27,
VCT,0.18,0.135,0.315,0.27,
VEN,0.18,0.135,0.315,0.27,
VIR,0.18,0.135,0.315,0.27,
VNM,0.18,0.135,0.315,0.27,
VUT,0.18,0.135,0.315,0.27,
WSM,0.18,0.135,0.315,0.27,
YEM,0.18,0.135,0.315,0.27,
ZAF,0.18,0.135,0.315,0.27,
ZMB,0.18,0.135,0.315,0.27,
ZWE,0.18,0.135,0.315,0.27,
