iso,ldv,twothree,bus,rail
ABW,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
AFG,0.1434053995044606,0.3068719876497825,0.5145998504359971,0.03512276240975969
AGO,0.24398072671185023,0.03726187217957832,0.699065005816437,0.01969239529213428
ALB,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
ARE,0.5274873699057576,0.016266017892705688,0.44699422636069464,0.009252385840841981
ARG,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
ARM,0.45575076574057427,0.004602652634835966,0.31112951878929834,0.2285170628352915
AUS,0.4867041504553462,0.007416611324388851,0.24754037065915177,0.2583388675611131
AUT,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
AZE,0.45575076574057427,0.004602652634835966,0.31112951878929834,0.2285170628352915
BDI,0.2349389202312605,0.08332032806087514,0.6642146950410722,0.017526056666792217
BEL,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
BEN,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
BFA,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
BGD,0.1434053995044606,0.3068719876497825,0.5145998504359971,0.03512276240975969
BGR,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
BHR,0.5274873699057576,0.016266017892705688,0.44699422636069464,0.009252385840841981
BHS,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
BIH,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
BLR,0.3896339581901389,0.05293610891396761,0.29924644865761363,0.25818348423827986
BLZ,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
BOL,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
BRA,0.5330072705044829,0.08541703316532873,0.3629947465000084,0.01858094983018002
BRB,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
BRN,0.34735240293294684,0.19068215355046736,0.41537621126892277,0.04658923224766295
BTN,0.1434053995044606,0.3068719876497825,0.5145998504359971,0.03512276240975969
BWA,0.24398072671185023,0.03726187217957832,0.699065005816437,0.01969239529213428
CAF,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
CAN,0.9474580071724036,0.0011967904962490294,0.041549803946896946,0.009795398384450413
CHE,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
CHL,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
CHN,0.48965977318212134,0.03645567633324177,0.29445120276262604,0.17943334772201075
CIV,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
CMR,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
COD,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
COG,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
COL,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
COM,0.2349389202312605,0.08332032806087514,0.6642146950410722,0.017526056666792217
CPV,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
CRI,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
CUB,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
CYP,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
CZE,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
DEU,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
DJI,0.2349389202312605,0.08332032806087514,0.6642146950410722,0.017526056666792217
DNK,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
DOM,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
DZA,0.4988437125030737,0.009785911230744003,0.46996149934057585,0.02140887692560635
ECU,0.5190402437979251,0.049053118963855696,0.40512925501133024,0.02677738222688902
EGY,0.4988437125030737,0.009785911230744003,0.46996149934057585,0.02140887692560635
ERI,0.2349389202312605,0.08332032806087514,0.6642146950410722,0.017526056666792217
ESP,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
EST,0.5504582519807,0.010892709040968241,0.2534240382903347,0.185225000687997
ETH,0.2349389202312605,0.08332032806087514,0.6642146950410722,0.017526056666792217
FIN,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
FJI,0.4867041504553462,0.007416611324388851,0.24754037065915177,0.2583388675611131
FRA,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
FSM,0.4867041504553462,0.007416611324388851,0.24754037065915177,0.2583388675611131
GAB,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GBR,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
GEO,0.45575076574057427,0.004602652634835966,0.31112951878929834,0.2285170628352915
GHA,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GIN,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GLP,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
GMB,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GNB,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GNQ,0.24024446116247403,0.05100000000000004,0.694217176350179,0.014538362487346877
GRC,0.7234664189937553,0.026029387628561024,0.15852703178492328,0.09197716159276051
GRD,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
GTM,0.490819639152551,0.03026367125635939,0.45063063090975486,0.028286058681334568
